LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
JENSEN BEACH HIGH SCHOOL (JENSEN BEACH) MARTIN 12 11 0 0 1 9 2 1,JENSEN BEACH HIGH SCHOOL (JENSEN BEACH),MARTIN,,,,,,,,,2,1,0,0,1,9,2,1
MARTIN COUNTY HIGH SCHOOL (STUART) MARTIN 6 6 0 0 0 3 2 1,MARTIN COUNTY HIGH SCHOOL (STUART),MARTIN,,,,,,,,,6,6,0,0,0,3,2,1
MURRAY MIDDLE SCHOOL (STUART) MARTIN 2 2 0 0 0 2 0 0,MURRAY MIDDLE SCHOOL (STUART),MARTIN,,,,,,,,,2,2,0,0,0,2,0,0
REDEEMER LUTHERAN SCHOOL (STUART) MARTIN 4 3 0 0 1 3 1 0,REDEEMER LUTHERAN SCHOOL (STUART),MARTIN,,,,,,,,,4,3,0,0,1,3,1,0
SAINT JOSEPH CATHOLIC SCHOOL (STUART) MARTIN 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,SAINT JOSEPH CATHOLIC SCHOOL (STUART),MARTIN,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
SEA WIND ELEMENTARY SCHOOL (HOBE SOUND) MARTIN 1 0 0 0 1 1 0 0,SEA WIND ELEMENTARY SCHOOL (HOBE SOUND),MARTIN,,,,,,,,,1,0,0,0,1,1,0,0
SOUTH FORK HIGH SCHOOL (STUART) MARTIN 1 1 0 0 0 1 0 0 11 9 1 0 1 8 3 0,SOUTH FORK HIGH SCHOOL (STUART),MARTIN,1,1,0,0,0,1,0,0,11,9,1,0,1,8,3,0
STUART MIDDLE SCHOOL (STUART) MARTIN 1 1 0 0 0 1 0 0 4 4 0 0 0 3 0 1,STUART MIDDLE SCHOOL (STUART),MARTIN,1,1,0,0,0,1,0,0,4,4,0,0,0,3,0,1
TREASURE COAST CLASSICAL ACADEMY (STUART) MARTIN 2 2 0 0 0 2 0 0 2 2 0 0 0 2 0 0,TREASURE COAST CLASSICAL ACADEMY (STUART),MARTIN,2,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0
CORAL SHORES HIGH SCHOOL (TAVERNIER) MONROE 3 3 0 0 0 2 1 0,CORAL SHORES HIGH SCHOOL (TAVERNIER),MONROE,,,,,,,,,3,3,0,0,0,2,1,0
GERALD ADAMS ELEMENTARY SCHOOL (KEY WEST) MONROE 1 1 0 0 0 1 0 0,GERALD ADAMS ELEMENTARY SCHOOL (KEY WEST),MONROE,,,,,,,,,1,1,0,0,0,1,0,0
HORACE O'BRYANT SCHOOL (KEY WEST) MONROE 2 2 0 0 0 2 0 0,HORACE O'BRYANT SCHOOL (KEY WEST),MONROE,,,,,,,,,2,2,0,0,0,2,0,0
MARATHON SCHOOL (MARATHON) MONROE 1 1 0 0 0 0 0 1,MARATHON SCHOOL (MARATHON),MONROE,,,,,,,,,1,1,0,0,0,0,0,1
PLANTATION KEY SCHOOL (TAVERNIER) MONROE 1 1 0 0 0 1 0 0,PLANTATION KEY SCHOOL (TAVERNIER),MONROE,,,,,,,,,1,1,0,0,0,1,0,0
POINCIANA ELEMENTARY SCHOOL (KEY WEST) MONROE 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,POINCIANA ELEMENTARY SCHOOL (KEY WEST),MONROE,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
SIGSBEE CHARTER SCHOOL (KEY WEST) MONROE 2 1 0 0 1 1 1 0,SIGSBEE CHARTER SCHOOL (KEY WEST),MONROE,,,,,,,,,2,1,0,0,1,1,1,0
STANLEY SWITLIK ELEMENTARY SCHOOL (MARATHON) MONROE 1 1 0 0 0 1 0 0,STANLEY SWITLIK ELEMENTARY SCHOOL (MARATHON),MONROE,,,,,,,,,1,1,0,0,0,1,0,0
THE BASILICA SCHOOL OF SAINT MARY (KEY WEST) MONROE 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0,THE BASILICA SCHOOL OF SAINT MARY (KEY WEST),MONROE,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
