LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
HIDDEN OAK ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0,HIDDEN OAK ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,0,0,1,0,1,0,0
HOWARD W. BISHOP MIDDLE SCHOOL (GAINESVILLE) ALACHUA 6 6 0 0 0 2 3 1 7 7 0 0 0 3 3 1,HOWARD W. BISHOP MIDDLE SCHOOL (GAINESVILLE),ALACHUA,6,6,0,0,0,2,3,1,7,7,0,0,0,3,3,1
KIMBALL WILES ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,KIMBALL WILES ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
LAWTON M. CHILES ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 0 0 1 0 1 0 0,LAWTON M. CHILES ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,0,0,1,0,1,0,0
LITTLEWOOD ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,LITTLEWOOD ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
LIVING SPRINGS ACADEMY (HIGH SPRINGS) ALACHUA 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,LIVING SPRINGS ACADEMY (HIGH SPRINGS),ALACHUA,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
MYRA TERWILLIGER ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,MYRA TERWILLIGER ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
NEWBERRY ELEMENTARY SCHOOL (NEWBERRY) ALACHUA 3 2 1 0 0 2 1 0 4 3 1 0 0 3 1 0,NEWBERRY ELEMENTARY SCHOOL (NEWBERRY),ALACHUA,3,2,1,0,0,2,1,0,4,3,1,0,0,3,1,0
NEWBERRY HIGH SCHOOL (NEWBERRY) ALACHUA 4 3 0 1 0 2 2 0 13 11 1 1 0 6 5 2,NEWBERRY HIGH SCHOOL (NEWBERRY),ALACHUA,4,3,0,1,0,2,2,0,13,11,1,1,0,6,5,2
OAK HALL SCHOOL (GAINESVILLE) ALACHUA 1 0 1 0 0 1 0 0 2 1 1 0 0 2 0 0,OAK HALL SCHOOL (GAINESVILLE),ALACHUA,1,0,1,0,0,1,0,0,2,1,1,0,0,2,0,0
OAK VIEW MIDDLE SCHOOL (NEWBERRY) ALACHUA 3 2 1 0 0 2 1 0 4 3 1 0 0 2 2 0,OAK VIEW MIDDLE SCHOOL (NEWBERRY),ALACHUA,3,2,1,0,0,2,1,0,4,3,1,0,0,2,2,0
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL (GAINESVILLE) ALACHUA 2 1 0 1 0 2 0 0,P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,1,0,1,0,2,0,0
RESILIENCE CHARTER SCHOOL INC (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,RESILIENCE CHARTER SCHOOL INC (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
SANTA FE HIGH SCHOOL (ALACHUA) ALACHUA 1 1 0 0 0 1 0 0,SANTA FE HIGH SCHOOL (ALACHUA),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
"THE EINSTEIN SCHOOL, INC. (GAINESVILLE) ALACHUA 1 1 0 0 0 0 1 0","THE EINSTEIN SCHOOL, INC. (GAINESVILLE)",ALACHUA,,,,,,,,,1,1,0,0,0,0,1,0
THE ROCK SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0 2 2 0 0 0 2 0 0,THE ROCK SCHOOL (GAINESVILLE),ALACHUA,1,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0
UNIVERSITY OF FLORIDA ALACHUA 1 1 0 0 0 1 0 0,UNIVERSITY OF FLORIDA,ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
W. A. METCALFE ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0,W. A. METCALFE ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
WESTWOOD MIDDLE SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 0 0 2 2 2 0 0 0 0 0 2,WESTWOOD MIDDLE SCHOOL (GAINESVILLE),ALACHUA,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2
BAKER COUNTY MIDDLE SCHOOL (MACCLENNY) BAKER 1 1 0 0 0 0 1 0 10 7 2 0 1 9 1 0,BAKER COUNTY MIDDLE SCHOOL (MACCLENNY),BAKER,1,1,0,0,0,0,1,0,10,7,2,0,1,9,1,0
BAKER COUNTY SENIOR HIGH SCHOOL (GLEN ST MARY) BAKER 1 1 0 0 0 0 1 0 19 14 1 1 3 15 4 0,BAKER COUNTY SENIOR HIGH SCHOOL (GLEN ST MARY),BAKER,1,1,0,0,0,0,1,0,19,14,1,1,3,15,4,0
J FRANKLYN KELLER INTERMEDIATE SCHOOL (MACCLENNY) BAKER 7 4 1 0 2 7 0 0,J FRANKLYN KELLER INTERMEDIATE SCHOOL (MACCLENNY),BAKER,,,,,,,,,7,4,1,0,2,7,0,0
MACCLENNY ELEMENTARY SCHOOL (MACCLENNY) BAKER 2 2 0 0 0 2 0 0,MACCLENNY ELEMENTARY SCHOOL (MACCLENNY),BAKER,,,,,,,,,2,2,0,0,0,2,0,0
WESTSIDE ELEMENTARY SCHOOL (GLEN ST MARY) BAKER 3 1 0 0 2 1 2 0,WESTSIDE ELEMENTARY SCHOOL (GLEN ST MARY),BAKER,,,,,,,,,3,1,0,0,2,1,2,0
A. CRAWFORD MOSLEY HIGH SCHOOL (LYNN HAVEN) BAY 4 3 0 0 1 3 0 1 15 13 0 0 2 13 1 1,A. CRAWFORD MOSLEY HIGH SCHOOL (LYNN HAVEN),BAY,4,3,0,0,1,3,0,1,15,13,0,0,2,13,1,1
BAY HAVEN CHARTER ACADEMY (PANAMA CITY) BAY 1 1 0 0 0 1 0 0 5 5 0 0 0 3 2 0,BAY HAVEN CHARTER ACADEMY (PANAMA CITY),BAY,1,1,0,0,0,1,0,0,5,5,0,0,0,3,2,0
BAY HIGH SCHOOL (PANAMA CITY) BAY 1 1 0 0 0 1 0 0,BAY HIGH SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,1,0,0
BREAKFAST POINT ACADEMY (PANAMA CITY BEACH) BAY 1 1 0 0 0 1 0 0 2 1 0 0 1 2 0 0,BREAKFAST POINT ACADEMY (PANAMA CITY BEACH),BAY,1,1,0,0,0,1,0,0,2,1,0,0,1,2,0,0
CEDAR GROVE ELEMENTARY SCHOOL (PANAMA CITY) BAY 3 3 0 0 0 2 1 0,CEDAR GROVE ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,3,3,0,0,0,2,1,0
CENTRAL ACADEMY (PANAMA CITY) BAY 1 1 0 0 0 1 0 0,CENTRAL ACADEMY (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,1,0,0
DEANE BOZEMAN SCHOOL (PANAMA CITY) BAY 2 2 0 0 0 2 0 0,DEANE BOZEMAN SCHOOL (PANAMA CITY),BAY,,,,,,,,,2,2,0,0,0,2,0,0
DEER POINT ELEMENTARY SCHOOL (PANAMA CITY) BAY 2 0 1 1 0 2 0 0,DEER POINT ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,2,0,1,1,0,2,0,0
HILAND PARK ELEMENTARY SCHOOL (PANAMA CITY) BAY 1 0 0 0 1 1 0 0,HILAND PARK ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,0,0,0,1,1,0,0
J.R. ARNOLD HIGH SCHOOL (PANAMA CITY BEACH) BAY 3 3 0 0 0 2 1 0,J.R. ARNOLD HIGH SCHOOL (PANAMA CITY BEACH),BAY,,,,,,,,,3,3,0,0,0,2,1,0
JINKS MIDDLE SCHOOL (PANAMA CITY) BAY 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,JINKS MIDDLE SCHOOL (PANAMA CITY),BAY,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
LUCILLE MOORE ELEMENTARY SCHOOL (PANAMA CITY) BAY 1 0 0 1 0 1 0 0,LUCILLE MOORE ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,0,0,1,0,1,0,0
LYNN HAVEN ELEMENTARY SCHOOL (LYNN HAVEN) BAY 3 0 0 1 2 3 0 0,LYNN HAVEN ELEMENTARY SCHOOL (LYNN HAVEN),BAY,,,,,,,,,3,0,0,1,2,3,0,0
MOWAT MIDDLE SCHOOL (LYNN HAVEN) BAY 3 2 0 0 1 3 0 0,MOWAT MIDDLE SCHOOL (LYNN HAVEN),BAY,,,,,,,,,3,2,0,0,1,3,0,0
NORTH BAY HAVEN CAREER ACADEMY (PANAMA CITY) BAY 3 3 0 0 0 1 2 0 7 6 0 0 1 5 2 0,NORTH BAY HAVEN CAREER ACADEMY (PANAMA CITY),BAY,3,3,0,0,0,1,2,0,7,6,0,0,1,5,2,0
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL (PANAMA CITY) BAY 1 1 0 0 0 1 0 0,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,1,0,0
NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL (PANAMA CITY) BAY 1 1 0 0 0 1 0 0,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,1,0,0
NORTHSIDE ELEMENTARY SCHOOL (PANAMA CITY) BAY 2 1 0 0 1 1 1 0,NORTHSIDE ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,2,1,0,0,1,1,1,0
PALM BAY ELEMENTARY SCHOOL (PANAMA CITY) BAY 2 0 0 2 0 2 0 0,PALM BAY ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,2,0,0,2,0,2,0,0
PARKER ELEMENTARY SCHOOL (PANAMA CITY) BAY 2 0 0 1 1 1 1 0,PARKER ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,2,0,0,1,1,1,1,0
PATRONIS ELEMENTARY SCHOOL (PANAMA CITY BEACH) BAY 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0,PATRONIS ELEMENTARY SCHOOL (PANAMA CITY BEACH),BAY,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
SOUTHPORT ELEMENTARY SCHOOL (SOUTHPORT) BAY 1 0 0 0 1 0 1 0,SOUTHPORT ELEMENTARY SCHOOL (SOUTHPORT),BAY,,,,,,,,,1,0,0,0,1,0,1,0
TOM P. HANEY TECHNICAL CENTER (PANAMA CITY) BAY 1 1 0 0 0 1 0 0,TOM P. HANEY TECHNICAL CENTER (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,1,0,0
TOMMY SMITH ELEMENTARY SCHOOL (PANAMA CITY) BAY 1 1 0 0 0 0 1 0,TOMMY SMITH ELEMENTARY SCHOOL (PANAMA CITY),BAY,,,,,,,,,1,1,0,0,0,0,1,0
UNIVERSITY ACADEMY SABL INC (PANAMA CITY) BAY 7 3 1 0 3 5 2 0,UNIVERSITY ACADEMY SABL INC (PANAMA CITY),BAY,,,,,,,,,7,3,1,0,3,5,2,0
BRADFORD DISTRICT OFFICE (STARKE) BRADFORD 1 0 0 1 0 1 0 0,BRADFORD DISTRICT OFFICE (STARKE),BRADFORD,,,,,,,,,1,0,0,1,0,1,0,0
BRADFORD HIGH SCHOOL (STARKE) BRADFORD 9 7 0 1 1 9 0 0,BRADFORD HIGH SCHOOL (STARKE),BRADFORD,,,,,,,,,9,7,0,1,1,9,0,0
BRADFORD MIDDLE SCHOOL (STARKE) BRADFORD 7 4 0 0 3 6 1 0,BRADFORD MIDDLE SCHOOL (STARKE),BRADFORD,,,,,,,,,7,4,0,0,3,6,1,0
BROOKER ELEMENTARY SCHOOL (BROOKER) BRADFORD 1 0 0 0 1 0 1 0,BROOKER ELEMENTARY SCHOOL (BROOKER),BRADFORD,,,,,,,,,1,0,0,0,1,0,1,0
HAMPTON ELEMENTARY SCHOOL (HAMPTON) BRADFORD 4 3 0 0 1 4 0 0 6 3 1 1 1 6 0 0,HAMPTON ELEMENTARY SCHOOL (HAMPTON),BRADFORD,4,3,0,0,1,4,0,0,6,3,1,1,1,6,0,0
LAWTEY ELEMENTARY SCHOOL (LAWTEY) BRADFORD 3 2 1 0 0 1 2 0,LAWTEY ELEMENTARY SCHOOL (LAWTEY),BRADFORD,,,,,,,,,3,2,1,0,0,1,2,0
NORTHSIDE CHRISTIAN ACADEMY (STARKE) BRADFORD 2 1 0 0 1 2 0 0,NORTHSIDE CHRISTIAN ACADEMY (STARKE),BRADFORD,,,,,,,,,2,1,0,0,1,2,0,0
SOUTHSIDE ELEMENTARY SCHOOL (STARKE) BRADFORD 1 1 0 0 0 1 0 0 2 1 0 0 1 2 0 0,SOUTHSIDE ELEMENTARY SCHOOL (STARKE),BRADFORD,1,1,0,0,0,1,0,0,2,1,0,0,1,2,0,0
STARKE ELEMENTARY SCHOOL (STARKE) BRADFORD 1 0 0 0 1 0 1 0,STARKE ELEMENTARY SCHOOL (STARKE),BRADFORD,,,,,,,,,1,0,0,0,1,0,1,0
ATLANTIS ELEMENTARY SCHOOL (COCOA) BREVARD 2 2 0 0 0 1 1 0,ATLANTIS ELEMENTARY SCHOOL (COCOA),BREVARD,,,,,,,,,2,2,0,0,0,1,1,0
AUDUBON ELEMENTARY SCHOOL (MERRITT ISLAND) BREVARD 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0,AUDUBON ELEMENTARY SCHOOL (MERRITT ISLAND),BREVARD,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
BAYSIDE HIGH SCHOOL (PALM BAY) BREVARD 1 1 0 0 0 1 0 0 4 4 0 0 0 3 1 0,BAYSIDE HIGH SCHOOL (PALM BAY),BREVARD,1,1,0,0,0,1,0,0,4,4,0,0,0,3,1,0
CALVARY CHAPEL ACADEMY (WEST MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,CALVARY CHAPEL ACADEMY (WEST MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
CAPE VIEW ELEMENTARY SCHOOL (CAPE CANAVERAL) BREVARD 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0,CAPE VIEW ELEMENTARY SCHOOL (CAPE CANAVERAL),BREVARD,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
CENTRAL MIDDLE SCHOOL (WEST MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,CENTRAL MIDDLE SCHOOL (WEST MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
CHRISTA MCAULIFFE ELEMENTARY SCHOOL (PALM BAY) BREVARD 1 1 0 0 0 1 0 0,CHRISTA MCAULIFFE ELEMENTARY SCHOOL (PALM BAY),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL (COCOA BEACH) BREVARD 3 3 0 0 0 2 1 0 4 4 0 0 0 3 1 0,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL (COCOA BEACH),BREVARD,3,3,0,0,0,2,1,0,4,4,0,0,0,3,1,0
COCOA HIGH SCHOOL (COCOA) BREVARD 3 3 0 0 0 2 0 1 5 5 0 0 0 4 0 1,COCOA HIGH SCHOOL (COCOA),BREVARD,3,3,0,0,0,2,0,1,5,5,0,0,0,4,0,1
COLUMBIA ELEMENTARY SCHOOL (PALM BAY) BREVARD 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,COLUMBIA ELEMENTARY SCHOOL (PALM BAY),BREVARD,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
DISCOVERY ELEMENTARY SCHOOL (PALM BAY) BREVARD 1 0 0 0 1 1 0 0,DISCOVERY ELEMENTARY SCHOOL (PALM BAY),BREVARD,,,,,,,,,1,0,0,0,1,1,0,0
DR. W.J. CREEL ELEMENTARY SCHOOL (MELBOURNE) BREVARD 1 0 0 0 1 1 0 0,DR. W.J. CREEL ELEMENTARY SCHOOL (MELBOURNE),BREVARD,,,,,,,,,1,0,0,0,1,1,0,0
EAST ATLANTIC PREP OF BREVARD COUNTY (PORT ST. JOHN) BREVARD 1 1 0 0 0 0 1 0,EAST ATLANTIC PREP OF BREVARD COUNTY (PORT ST. JOHN),BREVARD,,,,,,,,,1,1,0,0,0,0,1,0
EAU GALLIE HIGH SCHOOL (MELBOURNE) BREVARD 2 2 0 0 0 2 0 0 5 3 2 0 0 5 0 0,EAU GALLIE HIGH SCHOOL (MELBOURNE),BREVARD,2,2,0,0,0,2,0,0,5,3,2,0,0,5,0,0
EDGEWOOD JR/SR HIGH SCHOOL (MERRITT ISLAND) BREVARD 5 4 1 0 0 4 1 0,EDGEWOOD JR/SR HIGH SCHOOL (MERRITT ISLAND),BREVARD,,,,,,,,,5,4,1,0,0,4,1,0
ENDEAVOUR ELEMENTARY SCHOOL (COCOA) BREVARD 2 1 1 0 0 2 0 0 4 2 1 0 1 4 0 0,ENDEAVOUR ELEMENTARY SCHOOL (COCOA),BREVARD,2,1,1,0,0,2,0,0,4,2,1,0,1,4,0,0
ENTERPRISE ELEMENTARY SCHOOL (COCOA) BREVARD 6 3 2 1 0 6 0 0,ENTERPRISE ELEMENTARY SCHOOL (COCOA),BREVARD,,,,,,,,,6,3,2,1,0,6,0,0
GOLFVIEW ELEMENTARY MAGNET SCHOOL (ROCKLEDGE) BREVARD 5 3 2 0 0 4 0 1,GOLFVIEW ELEMENTARY MAGNET SCHOOL (ROCKLEDGE),BREVARD,,,,,,,,,5,3,2,0,0,4,0,1
HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL (ROCKLEDGE) BREVARD 1 0 0 1 0 1 0 0 2 1 0 1 0 1 1 0,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL (ROCKLEDGE),BREVARD,1,0,0,1,0,1,0,0,2,1,0,1,0,1,1,0
HARBOR CITY ELEMENTARY SCHOOL (MELBOURNE) BREVARD 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,HARBOR CITY ELEMENTARY SCHOOL (MELBOURNE),BREVARD,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
HERITAGE HIGH SCHOOL (PALM BAY) BREVARD 2 1 1 0 0 2 0 0,HERITAGE HIGH SCHOOL (PALM BAY),BREVARD,,,,,,,,,2,1,1,0,0,2,0,0
IMAGINE SCHOOLS AT WEST MELBOURNE (WEST MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,IMAGINE SCHOOLS AT WEST MELBOURNE (WEST MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
IMPERIAL ESTATES ELEMENTARY SCHOOL (TITUSVILLE) BREVARD 1 0 0 0 1 1 0 0,IMPERIAL ESTATES ELEMENTARY SCHOOL (TITUSVILLE),BREVARD,,,,,,,,,1,0,0,0,1,1,0,0
JAMES MADISON MIDDLE SCHOOL (TITUSVILLE) BREVARD 1 1 0 0 0 1 0 0,JAMES MADISON MIDDLE SCHOOL (TITUSVILLE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
LOCKMAR ELEMENTARY SCHOOL (PALM BAY) BREVARD 1 0 0 1 0 1 0 0,LOCKMAR ELEMENTARY SCHOOL (PALM BAY),BREVARD,,,,,,,,,1,0,0,1,0,1,0,0
LYNDON B. JOHNSON MIDDLE SCHOOL (MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,LYNDON B. JOHNSON MIDDLE SCHOOL (MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
MEADOWLANE PRIMARY ELEMENTARY SCHOOL (WEST MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,MEADOWLANE PRIMARY ELEMENTARY SCHOOL (WEST MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
MELBOURNE CENTRAL CATHOLIC HIGH SCHOOL (MELBOURNE) BREVARD 2 2 0 0 0 2 0 0,MELBOURNE CENTRAL CATHOLIC HIGH SCHOOL (MELBOURNE),BREVARD,,,,,,,,,2,2,0,0,0,2,0,0
MELBOURNE SENIOR HIGH SCHOOL (MELBOURNE) BREVARD 2 2 0 0 0 0 2 0 2 2 0 0 0 0 2 0,MELBOURNE SENIOR HIGH SCHOOL (MELBOURNE),BREVARD,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2,0
MERRITT ISLAND CHRISTIAN SCHOOL (MERRITT ISLAND) BREVARD 1 1 0 0 0 1 0 0 10 8 1 1 0 7 2 1,MERRITT ISLAND CHRISTIAN SCHOOL (MERRITT ISLAND),BREVARD,1,1,0,0,0,1,0,0,10,8,1,1,0,7,2,1
MERRITT ISLAND HIGH SCHOOL (MERRITT ISLAND) BREVARD 1 1 0 0 0 1 0 0 2 2 0 0 0 2 0 0,MERRITT ISLAND HIGH SCHOOL (MERRITT ISLAND),BREVARD,1,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0
MIMS ELEMENTARY SCHOOL (MIMS) BREVARD 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0,MIMS ELEMENTARY SCHOOL (MIMS),BREVARD,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
OAK PARK ELEMENTARY SCHOOL (TITUSVILLE) BREVARD 1 0 0 1 0 1 0 0 2 0 1 1 0 2 0 0,OAK PARK ELEMENTARY SCHOOL (TITUSVILLE),BREVARD,1,0,0,1,0,1,0,0,2,0,1,1,0,2,0,0
OCEAN BREEZE ELEMENTARY SCHOOL (INDIAN HARBOUR BEACH) BREVARD 1 1 0 0 0 1 0 0,OCEAN BREEZE ELEMENTARY SCHOOL (INDIAN HARBOUR BEACH),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
ODYSSEY CHARTER SCHOOL (PALM BAY) BREVARD 1 1 0 0 0 1 0 0,ODYSSEY CHARTER SCHOOL (PALM BAY),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
ODYSSEY PREPARATORY CHARTER ACADEMY (PALM BAY) BREVARD 1 1 0 0 0 1 0 0,ODYSSEY PREPARATORY CHARTER ACADEMY (PALM BAY),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
OUR LADY OF LOURDES (MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,OUR LADY OF LOURDES (MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
PALM BAY ACADEMY CHARTER SCHOOL (PALM BAY) BREVARD 3 3 0 0 0 2 1 0 3 3 0 0 0 2 1 0,PALM BAY ACADEMY CHARTER SCHOOL (PALM BAY),BREVARD,3,3,0,0,0,2,1,0,3,3,0,0,0,2,1,0
PALM BAY MAGNET SENIOR HIGH SCHOOL (MELBOURNE) BREVARD 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,PALM BAY MAGNET SENIOR HIGH SCHOOL (MELBOURNE),BREVARD,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
PARK AVENUE CHRISTIAN ACADEMY (TITUSVILLE) BREVARD 2 0 1 0 1 2 0 0,PARK AVENUE CHRISTIAN ACADEMY (TITUSVILLE),BREVARD,,,,,,,,,2,0,1,0,1,2,0,0
PINEAPPLE COVE CLASSICAL ACADEMY (PALM BAY) BREVARD 2 2 0 0 0 2 0 0 2 2 0 0 0 2 0 0,PINEAPPLE COVE CLASSICAL ACADEMY (PALM BAY),BREVARD,2,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0
QUEST ELEMENTARY SCHOOL (MELBOURNE) BREVARD 1 1 0 0 0 1 0 0,QUEST ELEMENTARY SCHOOL (MELBOURNE),BREVARD,,,,,,,,,1,1,0,0,0,1,0,0
RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL (ROCKLEDGE) BREVARD 2 2 0 0 0 1 1 0 2 2 0 0 0 1 1 0,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL (ROCKLEDGE),BREVARD,2,2,0,0,0,1,1,0,2,2,0,0,0,1,1,0
