LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
CARING & SHARING LEARNING SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 0 0 1,CARING & SHARING LEARNING SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,0,0,1
CAROLYN BEATRICE PARKER ELEMENTARY (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0,CAROLYN BEATRICE PARKER ELEMENTARY (GAINESVILLE),ALACHUA,,,,,,,,,1,1,0,0,0,1,0,0
CORNERSTONE ACADEMY (GAINESVILLE) ALACHUA 2 2 0 0 0 2 0 0,CORNERSTONE ACADEMY (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,2,0,0
COUNTRYSIDE CHRISTIAN SCHOOL (GAINESVILLE) ALACHUA 5 5 0 0 0 4 0 1,COUNTRYSIDE CHRISTIAN SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,5,5,0,0,0,4,0,1
EASTSIDE HIGH SCHOOL (GAINESVILLE) ALACHUA 2 2 0 0 0 1 1 0,EASTSIDE HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,2,0,0,0,1,1,0
F. W. BUCHHOLZ HIGH SCHOOL (GAINESVILLE) ALACHUA 5 4 1 0 0 4 1 0,F. W. BUCHHOLZ HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,5,4,1,0,0,4,1,0
FIRST CHRISTIAN ACADEMY (HIGH SPRINGS) ALACHUA 2 2 0 0 0 1 1 0,FIRST CHRISTIAN ACADEMY (HIGH SPRINGS),ALACHUA,,,,,,,,,2,2,0,0,0,1,1,0
GAINESVILLE HIGH SCHOOL (GAINESVILLE) ALACHUA 2 1 0 0 1 1 1 0,GAINESVILLE HIGH SCHOOL (GAINESVILLE),ALACHUA,,,,,,,,,2,1,0,0,1,1,1,0
GLEN SPRINGS ELEMENTARY SCHOOL (GAINESVILLE) ALACHUA 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0,GLEN SPRINGS ELEMENTARY SCHOOL (GAINESVILLE),ALACHUA,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
HAWTHORNE MIDDLE/HIGH SCHOOL (HAWTHORNE) ALACHUA 1 0 0 0 1 1 0 0,HAWTHORNE MIDDLE/HIGH SCHOOL (HAWTHORNE),ALACHUA,,,,,,,,,1,0,0,0,1,1,0,0
